fieldname,rule
identifier,"identifier: uri fileExists unique if($folder/is(""folder""),ends(""/"")) integrityCheck (""includeFolder"")"
folder,"folder: is(""folder"") or is(""file"")"
closure_start_date,"closure_start_date: if($closure_type/is(""open_on_transfer""),empty,xDateTime)"
closure_period,"closure_period: if($closure_type/is(""open_on_transfer""),is(""0""), range(1,100))"
foi_exemption_code,"foi_exemption_code: if($closure_type/is(""open_on_transfer""),is(""open""),any(""23"",""24"",""26"",""27(1)"",""27(2)"",""28"",""29"",""30(1)"",""30(2)"",""31"",""32"",""33"",""34"",""35(1)(a)"",""35(1)(b)"",""35(1)(c)"",""35(1)(d)"",""36"",""37(1)(a)"",""37(1)(aa)"",""37(1)(ac)"",""37(1)(ad)"",""37(1)(b)"",""38"",""39"",""40(2)"",""41"",""42"",""43"",""43(1)"",""43(2)"",""44""))"
foi_exemption_asserted,"foi_exemption_asserted: if($closure_type/is(""open_on_transfer""),empty, xDateTime) if($closure_type/is(""closed_for""),not($closure_start_date))"
description_public,"description_public: if($description_alternate/notEmpty,is(""FALSE""), is(""TRUE""))"
description_alternate,"description_alternate: if($description_public/is(""FALSE""),notEmpty,empty)"
title_public,"title_public: if($folder/is(""folder""),is(""TRUE""),any(""TRUE"",""FALSE""))"
title_alternate,"title_alternate: if($title_public/is(""FALSE""),notEmpty,empty)"
closure_type,"closure_type: any(""closed_review"",""closed_for"",""normal_closure_before_foi"",""closed_until"",""closed_access_reviewed"",""reclosed_in"",""open_on_transfer"")"
retention_type,"retention_type: if($closure_type/empty,any(""retained_under_3.4"",""temporarily_retained"",""retained_department""),empty)"
retention_reconsider_date,"retention_reconsider_date: if($retention_type/notEmpty,xDateTime,empty)"
RI_number,"RI_number: regex(""[0-9]{0,9}"") or empty"
RI_signed_date,RI_signed_date: xDateTime or empty
retention_justification,"if($retention_type/notEmpty,any(""2"",""4a"",""4b"",""6""),empty)"
file_reference,file_reference:
